ISIN;Weighting
DE000CBK1001;0.05%
US0188021085;0.05%
US42250P1030;0.05%
IL0011301780;0.05%
US12541W2098;0.05%
AU000000SUN6;0.04%
AU000000IAG3;0.04%
CA9611485090;0.04%
GB0031274896;0.04%
CA45075E1043;0.04%
CA59162N1096;0.04%
US4228061093;0.04%
CA3759161035;0.04%
CA36168Q1046;0.04%
NL0006294274;0.04%
US30034W1062;0.04%
US1331311027;0.04%
JP3762800005;0.04%
JP3386450005;0.04%
US1011211018;0.04%
CH0012032113;0.04%
JP3407400005;0.04%
IL0011762130;0.04%
ES0167050915;0.04%
IT0004810054;0.04%
GB0032089863;0.04%
US9139031002;0.04%
CA4488112083;0.04%
CA2861812014;0.04%
US29530P1021;0.03%
GB0030913577;0.03%
US35137L2043;0.03%
US9026531049;0.03%
JP3967200001;0.03%
SG1J26887955;0.03%
US21871X1090;0.03%
HK0006000050;0.03%
AU000000REA9;0.03%
NO0003733800;0.03%
CH0012410517;0.03%
DE0006602006;0.03%
SE0014781795;0.03%
JP3190000004;0.03%
CA6979001089;0.03%
CA1249003098;0.03%
SG1U76934819;0.03%
DK0060257814;0.03%
CH1335392721;0.03%
CA33767E2024;0.03%
AU000000SGP0;0.03%
SE0000667925;0.03%
FR0010220475;0.03%
US57060D1081;0.03%
SE0015949201;0.03%
JP3399310006;0.03%
CA4932711001;0.02%
US23918K1088;0.02%
CH0008038389;0.02%
AU000000QAN2;0.02%
IT0000062957;0.02%
JP3629000005;0.02%
DE0005470306;0.02%
BE0974264930;0.02%
BE0003604155;0.02%
JP3637300009;0.02%
JP3973400009;0.02%
BMG4587L1090;0.02%
BMG2178K1009;0.02%
IT0003796171;0.02%
SE0005190238;0.02%
JP3922950005;0.02%
CA0213611001;0.02%
GB00B1VZ0M25;0.02%
JP3443600006;0.02%
JP3493800001;0.02%
SE0000872095;0.02%
FI0009014377;0.02%
JP3711600001;0.02%
SE0017832488;0.01%
JP3689500001;0.01%
JP3783420007;0.01%
IL0011194789;0.01%
DK0010219153;0.01%
LU2290522684;0.01%
KYG8187G1055;0.01%
CA4495861060;0.01%
_CURRENCYCAD;0.01%
_CURRENCYJPY;0.01%
_CURRENCYDKK;0.00%
_CURRENCYEUR;0.00%
_CURRENCYAUD;0.00%
_CURRENCYHKD;0.00%
_CURRENCYNZD;0.00%
_CURRENCYILS;0.00%
_CURRENCYNOK;0.00%
_CURRENCYSGD;0.00%
_CURRENCYGBP;0.00%
_CURRENCYSEK;0.00%
_CURRENCYCHF;0.00%
ES06670509Q3;0.00%
