ISIN;Weighting
US1331311027;0.08%
JP3112000009;0.08%
JP3102000001;0.08%
NL0011540547;0.08%
US0357108390;0.08%
US29452E1010;0.08%
JP3360800001;0.08%
JP3500610005;0.08%
US61945C1036;0.08%
JP3942800008;0.08%
NO0010161896;0.08%
US69047Q1022;0.08%
SG1U68934629;0.08%
IL0006912120;0.08%
SE0007100599;0.08%
US98956P1021;0.08%
JP3258000003;0.08%
SG1T56930848;0.07%
SE0000163594;0.07%
JP3621000003;0.07%
JP3493800001;0.07%
JP3443600006;0.07%
SE0000113250;0.07%
SE0000108227;0.07%
US83444M1018;0.07%
JP3955000009;0.07%
US02005N1000;0.07%
US35137L2043;0.07%
GB0033195214;0.07%
BMG0112X1056;0.07%
US4932671088;0.07%
US0130911037;0.07%
JP3659000008;0.07%
IE0002424939;0.07%
GB0006731235;0.07%
DE0006048408;0.07%
AU000000QAN2;0.07%
CA0213611001;0.07%
GB0000811801;0.06%
JP3897700005;0.06%
US60855R1005;0.06%
CA4969024047;0.06%
JP3111200006;0.06%
JP3774200004;0.06%
JP3419400001;0.06%
JP3027670003;0.06%
BE0974264930;0.06%
JP3197800000;0.06%
GB0009223206;0.06%
NL0012059018;0.06%
SG1U76934819;0.06%
LU2598331598;0.06%
AT0000743059;0.06%
FR0010451203;0.06%
US21871X1090;0.05%
US45337C1027;0.05%
US0718131099;0.05%
SE0000107203;0.05%
AU000000S320;0.05%
JP3906000009;0.05%
NO0005052605;0.05%
HK0066009694;0.05%
FI0009007132;0.05%
CA1366812024;0.05%
NL0000379121;0.05%
BMG2178K1009;0.05%
_CURRENCYUSD;0.05%
JP3436120004;0.05%
CH0012138605;0.05%
IT0000062957;0.05%
NO0010345853;0.05%
US0235865062;0.05%
JP3400400002;0.05%
US8447411088;0.05%
JP3402600005;0.05%
AU000000BSL0;0.04%
IT0003497168;0.04%
GB0008782301;0.04%
SE0000114837;0.04%
JP3142500002;0.04%
SE0000190126;0.04%
CA68272K1030;0.04%
SE0020050417;0.04%
IE00BYQNZ507;0.04%
US03743Q1085;0.04%
HK0019000162;0.04%
NL0011872643;0.04%
US4039491000;0.04%
IT0000066123;0.04%
JP3787000003;0.04%
DE000A1DAHH0;0.04%
US4464131063;0.04%
GB00BP0RGD03;0.04%
KYG8187G1055;0.04%
JP3429800000;0.04%
NO0010208051;0.04%
JP3197600004;0.04%
CH0012255151;0.04%
FR0000039299;0.04%
JP3305990008;0.04%
HK0083000502;0.04%
JP3862400003;0.04%
FR0010313833;0.04%
JP3494600004;0.04%
CA2918434077;0.04%
BE0974464977;0.04%
FI0009005961;0.04%
IL0002810146;0.04%
GB00B0LCW083;0.04%
JP3918000005;0.04%
CA0089118776;0.03%
US3546131018;0.03%
AU000000VCX7;0.03%
FR0010259150;0.03%
JP3499800005;0.03%
JP3336560002;0.03%
JP3551520004;0.03%
JP3888300005;0.03%
_CURRENCYEUR;0.03%
CA45075E1043;0.03%
BMG4587L1090;0.03%
SG1R50925390;0.03%
JP3705200008;0.03%
JP3351500008;0.03%
DE000EVNK013;0.03%
NO0003733800;0.03%
GB00BKFB1C65;0.03%
JP3511800009;0.03%
US0905722072;0.03%
FR0000121121;0.03%
BE0003797140;0.03%
CA9528451052;0.03%
JP3233250004;0.03%
US6011371027;0.02%
GB00BMWC6P49;0.02%
IT0004810054;0.02%
ES0171996087;0.02%
NL0014332678;0.02%
_CURRENCYJPY;0.02%
IT0005366767;0.02%
DE0005158703;0.02%
JP3256000005;0.01%
