ISIN;Weighting
US42250P1030;0.08%
JP3137200006;0.07%
SG1T56930848;0.07%
GB0033195214;0.07%
FR0000051807;0.07%
AU000000S320;0.07%
NL0011540547;0.07%
US35137L2043;0.07%
IE00BD1RP616;0.07%
US1331311027;0.07%
SE0000163594;0.07%
HK0006000050;0.07%
SE0000113250;0.07%
JP3942800008;0.07%
JP3621000003;0.07%
IL0006912120;0.07%
IE00BF0L3536;0.07%
US45337C1027;0.07%
AU000000QAN2;0.07%
DE0006048408;0.07%
IT0005218380;0.07%
US02005N1000;0.06%
CA0213611001;0.06%
JP3897700005;0.06%
JP3266400005;0.06%
JP3148800000;0.06%
_CURRENCYUSD;0.06%
JP3111200006;0.06%
SE0000108227;0.06%
BMG0112X1056;0.06%
BE0974264930;0.06%
JP3774200004;0.06%
SE0007100599;0.06%
NL0012059018;0.06%
US0130911037;0.06%
NO0010161896;0.06%
IE0002424939;0.06%
AT0000743059;0.06%
CA4969024047;0.06%
DE0005190037;0.06%
LU2598331598;0.06%
SE0000242455;0.06%
JP3197800000;0.06%
JP3868400007;0.05%
AU000000BSL0;0.05%
US0235865062;0.05%
ES0113860A34;0.05%
KYG8187G1055;0.05%
BMG2178K1009;0.05%
NO0005052605;0.05%
JP3102000001;0.05%
JP3197600004;0.05%
US8447411088;0.05%
CH0012138605;0.05%
GB0009223206;0.05%
JP3906000009;0.05%
GB0000811801;0.05%
NL0000379121;0.05%
GB0008782301;0.05%
JP3142500002;0.05%
IT0000062957;0.05%
US4039491000;0.04%
HK0066009694;0.04%
JP3402600005;0.04%
SE0000107203;0.04%
FR0010451203;0.04%
JP3659000008;0.04%
CA9528451052;0.04%
FR0000039299;0.04%
CA2918434077;0.04%
JP3419400001;0.04%
JP3918000005;0.04%
US21871X1090;0.04%
ES0171996087;0.04%
CA1366812024;0.04%
CA68272K1030;0.04%
CA0089118776;0.04%
JP3551520004;0.04%
SE0000190126;0.04%
NO0010208051;0.04%
NO0010345853;0.04%
NL0011872643;0.04%
JP3400400002;0.04%
SE0020050417;0.04%
JP3336560002;0.04%
GB00BP0RGD03;0.04%
GB0006825383;0.04%
IT0003497168;0.03%
FR0010313833;0.03%
FR0010259150;0.03%
GB00B0LCW083;0.03%
US0905722072;0.03%
JP3305990008;0.03%
JP3888300005;0.03%
JP3436120004;0.03%
CA45075E1043;0.03%
FI0009007132;0.03%
FI0009005961;0.03%
JP3787000003;0.03%
BE0974464977;0.03%
JP3499800005;0.03%
AU000000VCX7;0.03%
US03743Q1085;0.03%
JP3429800000;0.03%
CH0012255144;0.03%
NO0003733800;0.03%
DE000EVNK013;0.03%
AU000000DXS1;0.03%
BMG4587L1090;0.03%
_CURRENCYEUR;0.03%
AT0000937503;0.03%
IT0005366767;0.03%
NL0014332678;0.03%
IL0002810146;0.02%
US3546131018;0.02%
FR0000121121;0.02%
JP3351500008;0.02%
CH0012255151;0.02%
JP3233250004;0.02%
BE0003797140;0.02%
GB00BGXQNP29;0.02%
JP3511800009;0.02%
JP3705200008;0.02%
SG1R50925390;0.02%
GB00BKFB1C65;0.02%
SE0021628898;0.02%
